Format,Benchmark Name,Input Lines,Num Components (layout),Flow-layer Components,Control-layer Components,Area Score,Connection Length Score,Position Score,Symmetry Score,Bend Score,Overall Score
LFR,tree_fanout_mapping2,19,,,,,,,,,
LFR,tree_fanout_mapping3,22,,,,,,,,,
LFR,tree_storage_bus_mapping,12,,,,,,,,,
LFR,distribute_network_examples,63,,,,,,,,,
LFR,one_to_8,12,,,,,,,,,
LFR,one_to_one,8,,,,,,,,,
LFR,grad_cells,30,,,,,,,,,
LFR,hasty,9,,,,,,,,,
LFR,logic04,48,,,,,,,,,
LFR,multi_input,21,,,,,,,,,
LFR,net_mux,54,,,,,,,,,
LFR,rotary16,19,,,,,,,,,
LFR,rotary_cells,31,,,,,,,,,
LFR,tdroplet,26,,,,,,,,,
LFR,and_annotation_test,22,,,,,,,,,
LFR,dist_expression1,25,,,,,,,,,
LFR,dist_expression2,30,,,,,,,,,
LFR,dist_expression3,26,,,,,,,,,
LFR,cell_traps_4,2,,,,,,,,,
LFR,hv_storage_grid_04,0,,,,,,,,,
LFR,hv_storage_grid_08,0,,,,,,,,,
LFR,hv_storage_grid_16,0,,,,,,,,,
LFR,hv_storage_grid_32,0,,,,,,,,,
LFR,hv_storage_grid_64,0,,,,,,,,,
LFR,mux_02_in,15,,,,,,,,,
LFR,mux_02_out,15,,,,,,,,,
LFR,mux_04_in,17,,,,,,,,,
LFR,mux_04_out,17,,,,,,,,,
LFR,mux_08_in,21,,,,,,,,,
LFR,mux_08_out,21,,,,,,,,,
LFR,mux_16_in,29,,,,,,,,,
LFR,mux_16_out,29,,,,,,,,,
LFR,mux_32_in,45,,,,,,,,,
LFR,mux_32_out,45,,,,,,,,,
LFR,mux_64_in,77,,,,,,,,,
LFR,mux_64_out,77,,,,,,,,,
LFR,single_storage_grid_01,0,,,,,,,,,
LFR,single_storage_grid_02,0,,,,,,,,,
LFR,single_storage_grid_04,0,,,,,,,,,
LFR,single_storage_grid_08,0,,,,,,,,,
LFR,single_storage_grid_16,0,,,,,,,,,
LFR,single_storage_grid_32,0,,,,,,,,,
LFR,single_storage_grid_64,0,,,,,,,,,
LFR,transposer_02,19,,,,,,,,,
LFR,transposer_03,37,,,,,,,,,
LFR,transposer_04,69,,,,,,,,,
LFR,transposer_08,0,,,,,,,,,
LFR,transposer_16,0,,,,,,,,,
LFR,transposer_32,0,,,,,,,,,
LFR,transposer_64,0,,,,,,,,,
LFR,dropletgenerator,10,,,,,,,,,
LFR,dropletgenerator2,14,,,,,,,,,
LFR,dropletgenerator3,14,,,,,,,,,
LFR,dropletgenerator4,15,,,,,,,,,
LFR,dropx_test1,6,,,,,,,,,
LFR,dropx_test2,13,,,,,,,,,
LFR,dropx_test3,15,,,,,,,,,
LFR,dropx_test4,14,,,,,,,,,
LFR,dx1,21,,,,,,,,,
LFR,dx10,11,,,,,,,,,
LFR,dx11,25,,,,,,,,,
LFR,dx12,23,,,,,,,,,
LFR,dx13,36,,,,,,,,,
LFR,dx14,21,,,,,,,,,
LFR,dx15,9,,,,,,,,,
LFR,dx2,18,,,,,,,,,
LFR,dx3,21,,,,,,,,,
LFR,dx4,22,,,,,,,,,
LFR,dx5,18,,,,,,,,,
LFR,dx6,18,,,,,,,,,
LFR,dx7,13,,,,,,,,,
LFR,dx8,25,,,,,,,,,
LFR,dx9,17,,,,,,,,,
LFR,issue10,15,,,,,,,,,
LFR,issue15,9,,,,,,,,,
LFR,issue2,16,,,,,,,,,
LFR,issue3,8,,,,,,,,,
LFR,issue6,46,,,,,,,,,
LFR,issue7,8,,,,,,,,,
LFR,issue8,8,,,,,,,,,
LFR,issue9,55,,,,,,,,,
LFR,v0,55,,,,,,,,,
LFR,DNA_Digest,24,,,,,,,,,
LFR,PCR,29,,,,,,,,,
LFR,antibiotic_resistance,13,,,,,,,,,
LFR,cell_lysis,22,,,,,,,,,
LFR,fluorescence,21,,,,,,,,,
LFR,ligation,27,,,,,,,,,
LFR,pre_processor_dump,28,,,,,,,,,
LFR,sorting,13,,,,,,,,,
LFR,transformation,15,,,,,,,,,
LFR,dropletx,32,,,,,,,,,
LFR,expresstest,25,,,,,,,,,
LFR,multi_input,21,,,,,,,,,
LFR,ring,18,,,,,,,,,
