benchmark_path,device,subnet_sizes,n_components,n_connections,fully,has_singleton,control_pairs_only
Results/LFR-TestCases/Ryuichi's designs/seeding,seeding,"[22]",22,35,1,0,0
Results/LFR-TestCases/TechnologyMapping/cycle,cycle,"[6]",6,5,1,0,0
Results/LFR-TestCases/TechnologyMapping/instance_mapping,instance_mapping,"[3]",3,2,1,0,0
Results/LFR-TestCases/TechnologyMapping/n_g_m_map,n_g_m_map,"[10]",10,9,1,0,0
Results/LFR-TestCases/TechnologyMapping/n_l_m_map,n_l_m_map,"[10]",10,9,1,0,0
Results/LFR-TestCases/TechnologyMapping/one_to_one_mapping,one_to_one_mapping,"[3]",3,2,1,0,0
Results/LFR-TestCases/TechnologyMapping/tree_bus,tree_bus,"[11]",11,18,1,0,0
Results/LFR-TestCases/TechnologyMapping/tree_fanin_mapping,tree_fanin_mapping,"[10]",10,17,1,0,0
Results/LFR-TestCases/TechnologyMapping/tree_fanout_mapping,tree_fanout_mapping,"[10]",10,17,1,0,0
Results/LFR-TestCases/TechnologyMapping/tree_fanout_mapping2,tree_fanout_mapping2,"[10]",10,9,1,0,0
Results/LFR-TestCases/TechnologyMapping/tree_fanout_mapping3,tree_fanout_mapping3,"[10]",10,17,1,0,0
Results/LFR-TestCases/TechnologyMapping/tree_storage_bus_mapping,tree_storage_bus_mapping,"[12]",12,37,1,0,0
Results/LFR-TestCases/Transport Networks/distribute_network_examples,distribute_network_examples,"[9, 2, 2, 2, 2, 2, 2, 2, 2]",25,16,0,0,1
Results/LFR-TestCases/Transport Networks/one_to_8,one_to_8,"[9, 2, 2, 2, 2, 2, 2, 2, 2]",25,16,0,0,1
Results/LFR-TestCases/Transport Networks/one_to_one,one_to_one,"[2, 2]",4,2,0,0,1
Results/LFR-TestCases/chthesis/grad_cells,grad_cells,"[8]",8,10,1,0,0
Results/LFR-TestCases/chthesis/hasty,hasty,"[6]",6,8,1,0,0
Results/LFR-TestCases/chthesis/logic04,logic04,"[24]",24,28,1,0,0
Results/LFR-TestCases/chthesis/multi_input,multi_input,"[12]",12,11,1,0,0
Results/LFR-TestCases/chthesis/net_mux,net_mux,"[23]",23,32,1,0,0
Results/LFR-TestCases/chthesis/rotary16,rotary16,"[48]",48,64,1,0,0
Results/LFR-TestCases/chthesis/rotary_cells,rotary_cells,"[12]",12,14,1,0,0
Results/LFR-TestCases/chthesis/tdroplet,tdroplet,"[8, 2, 2]",12,9,0,0,1
Results/LFR-TestCases/distribute-expressions/and_annotation_test,and_annotation_test,"[4, 2, 2, 2]",10,6,0,0,1
Results/LFR-TestCases/distribute-expressions/dist_expression1,dist_expression1,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-expressions/dist_expression2,dist_expression2,"[3]",3,2,1,0,0
Results/LFR-TestCases/distribute-expressions/dist_expression3,dist_expression3,"[3]",3,2,1,0,0
Results/LFR-TestCases/distribute-library/cell_traps_4,cell_traps_4,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/hv_storage_grid_04,hv_storage_grid_04,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/hv_storage_grid_08,hv_storage_grid_08,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/hv_storage_grid_16,hv_storage_grid_16,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/hv_storage_grid_32,hv_storage_grid_32,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/hv_storage_grid_64,hv_storage_grid_64,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/mux_02_in,mux_02_in,"[3, 2, 2]",7,4,0,0,1
Results/LFR-TestCases/distribute-library/mux_02_out,mux_02_out,"[3, 2, 2]",7,4,0,0,1
Results/LFR-TestCases/distribute-library/mux_04_in,mux_04_in,"[5, 2, 2, 2, 2]",13,8,0,0,1
Results/LFR-TestCases/distribute-library/mux_04_out,mux_04_out,"[5, 2, 2, 2, 2]",13,8,0,0,1
Results/LFR-TestCases/distribute-library/mux_08_in,mux_08_in,"[9, 2, 2, 2, 2, 2, 2, 2, 2]",25,16,0,0,1
Results/LFR-TestCases/distribute-library/mux_08_out,mux_08_out,"[9, 2, 2, 2, 2, 2, 2, 2, 2]",25,16,0,0,1
Results/LFR-TestCases/distribute-library/mux_16_in,mux_16_in,"[17, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",49,32,0,0,1
Results/LFR-TestCases/distribute-library/mux_16_out,mux_16_out,"[17, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",49,32,0,0,1
Results/LFR-TestCases/distribute-library/mux_32_in,mux_32_in,"[33, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",97,64,0,0,1
Results/LFR-TestCases/distribute-library/mux_32_out,mux_32_out,"[33, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",97,64,0,0,1
Results/LFR-TestCases/distribute-library/mux_64_in,mux_64_in,"[65, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",193,128,0,0,1
Results/LFR-TestCases/distribute-library/mux_64_out,mux_64_out,"[65, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",193,128,0,0,1
Results/LFR-TestCases/distribute-library/single_storage_grid_01,single_storage_grid_01,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/single_storage_grid_02,single_storage_grid_02,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/single_storage_grid_04,single_storage_grid_04,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/single_storage_grid_08,single_storage_grid_08,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/single_storage_grid_16,single_storage_grid_16,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/single_storage_grid_32,single_storage_grid_32,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/single_storage_grid_64,single_storage_grid_64,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/transposer_02,transposer_02,"[4, 2, 2, 2, 2]",12,8,0,0,1
Results/LFR-TestCases/distribute-library/transposer_03,transposer_03,"[6, 2, 2, 2, 2, 2, 2, 2, 2]",22,16,0,0,1
Results/LFR-TestCases/distribute-library/transposer_04,transposer_04,"[20]",20,28,1,0,0
Results/LFR-TestCases/distribute-library/transposer_08,transposer_08,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/transposer_16,transposer_16,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/transposer_32,transposer_32,"[2]",2,1,1,0,0
Results/LFR-TestCases/distribute-library/transposer_64,transposer_64,"[2]",2,1,1,0,0
Results/LFR-TestCases/dropgen/dropletgenerator,dropletgenerator,"[3]",3,2,1,0,0
Results/LFR-TestCases/dropgen/dropletgenerator2,dropletgenerator2,"[15]",15,14,1,0,0
Results/LFR-TestCases/dropgen/dropletgenerator3,dropletgenerator3,"[22]",22,26,1,0,0
Results/LFR-TestCases/dropgen/dropletgenerator4,dropletgenerator4,"[12]",12,12,1,0,0
Results/LFR-TestCases/dropx/dropx_test1,dropx_test1,"[5]",5,4,1,0,0
Results/LFR-TestCases/dropx/dropx_test2,dropx_test2,"[10]",10,9,1,0,0
Results/LFR-TestCases/dropx/dropx_test3,dropx_test3,"[12]",12,11,1,0,0
Results/LFR-TestCases/dropx/dropx_test4,dropx_test4,"[8]",8,8,1,0,0
Results/LFR-TestCases/dropx/dx1,dx1,"[10]",10,9,1,0,0
Results/LFR-TestCases/dropx/dx10,dx10,"[9]",9,8,1,0,0
Results/LFR-TestCases/dropx/dx11,dx11,"[15]",15,14,1,0,0
Results/LFR-TestCases/dropx/dx12,dx12,"[12]",12,11,1,0,0
Results/LFR-TestCases/dropx/dx13,dx13,"[18]",18,17,1,0,0
Results/LFR-TestCases/dropx/dx14,dx14,"[9]",9,10,1,0,0
Results/LFR-TestCases/dropx/dx15,dx15,"[8]",8,7,1,0,0
Results/LFR-TestCases/dropx/dx2,dx2,"[13]",13,12,1,0,0
Results/LFR-TestCases/dropx/dx3,dx3,"[11]",11,10,1,0,0
Results/LFR-TestCases/dropx/dx4,dx4,"[20]",20,20,1,0,0
Results/LFR-TestCases/dropx/dx5,dx5,"[15]",15,14,1,0,0
Results/LFR-TestCases/dropx/dx6,dx6,"[9]",9,8,1,0,0
Results/LFR-TestCases/dropx/dx7,dx7,"[16]",16,15,1,0,0
Results/LFR-TestCases/dropx/dx8,dx8,"[20]",20,19,1,0,0
Results/LFR-TestCases/dropx/dx9,dx9,"[14]",14,13,1,0,0
Results/LFR-TestCases/ghissues/issue10,issue10,"[20]",20,27,1,0,0
Results/LFR-TestCases/ghissues/issue15,issue15,"[8]",8,7,1,0,0
Results/LFR-TestCases/ghissues/issue2,issue2,"[2]",2,1,1,0,0
Results/LFR-TestCases/ghissues/issue3,issue3,"[20]",20,28,1,0,0
Results/LFR-TestCases/ghissues/issue6,issue6,"[27]",27,34,1,0,0
Results/LFR-TestCases/ghissues/issue7,issue7,"[44]",44,52,1,0,0
Results/LFR-TestCases/ghissues/issue8,issue8,"[48]",48,57,1,0,0
Results/LFR-TestCases/ghissues/issue9,issue9,"[32]",32,31,1,0,0
Results/LFR-TestCases/hmlp/v0,v0,"[33]",33,42,1,0,0
Results/LFR-TestCases/mars/antibiotic_resistance,antibiotic_resistance,"[12]",12,11,1,0,0
Results/LFR-TestCases/mars/cell_lysis,cell_lysis,"[9]",9,8,1,0,0
Results/LFR-TestCases/mars/dna_digest,dna_digest,"[16, 2]",18,16,0,0,1
Results/LFR-TestCases/mars/fluorescence,fluorescence,"[11, 2]",13,11,0,0,1
Results/LFR-TestCases/mars/ligation,ligation,"[26, 2]",28,26,0,0,1
Results/LFR-TestCases/mars/pcr,pcr,"[4, 2]",6,4,0,0,1
Results/LFR-TestCases/mars/sorting,sorting,"[5]",5,4,1,0,0
Results/LFR-TestCases/mars/transformation,transformation,"[11]",11,10,1,0,0
Results/LFR-TestCases/test/dropletx,dropletx,"[9]",9,10,1,0,0
Results/LFR-TestCases/test/expresstest,expresstest,"[6]",6,5,1,0,0
Results/LFR-TestCases/test/multi_input,multi_input,"[12]",12,11,1,0,0
Results/LFR-TestCases/test/ring,ring,"[6]",6,5,1,0,0
